paperid,doi,shortnormname,soundex,normname,magid,s2id,lvl0,lvl1,affid
2049093536,10.1145/1377999.1378027,aoh,A252,aekyung oh,2694804376,2797452,"","",149635348
2049093536,10.1145/1377999.1378027,aoh,A252,aekyung oh,2694804376,2797452,"",41008148,111919701
2035881184,10.1007/s10470-012-9834-7,aye,A530,andy ye,2119975002,2622964,530967,41008148,24326235
2069196424,10.1162/coli.2008.34.1.81,away,A530,andy way,2110815193,144315616,"",41008148,154945302
2069196424,10.1162/coli.2008.34.1.81,away,A530,andy way,2110815193,144315616,"","",204321447
2078040110,10.1093/comjnl/bxm039,ayeo,A536,anders yeo,2152712730,145762028,184558857,33923547,118615104
2078040110,10.1093/comjnl/bxm039,ayeo,A536,anders yeo,2152712730,145762028,"","",114614502
2053832537,10.1016/j.vlsi.2011.11.017,aye,A530,andy ye,2119975002,20524122,530967,41008148,113775141
2161446454,10.1109/tasl.2008.925870,away,A530,andy way,2110815193,144315616,"",41008148,204321447
2161446454,10.1109/tasl.2008.925870,away,A530,andy way,2110815193,144315616,"","",28490314
2161446454,10.1109/tasl.2008.925870,away,A530,andy way,2110815193,144315616,"","",154945302
2164946572,10.1145/2503713.2503743,ahao,A550,aimin hao,2127406583,144795824,82880672,41008148,44154836
1963608587,10.1016/j.disopt.2004.11.001,ayeo,A536,anders yeo,2152712730,145762028,184558857,33923547,114614502
22234408,10.1007/978-3-642-34129-8_49,ahu,A540,anlei hu,2645120095,2141886,"",41008148,124101348
1971115687,10.1145/2821592.2821638,ahao,A550,aimin hao,2127406583,144795824,"","",154945302
1984958480,10.1016/j.eswa.2015.04.041,awu,A000,aihua wu,2228461741,46840809,96733725,33923547,178980831
1984958480,10.1016/j.eswa.2015.04.041,awu,A000,aihua wu,2228461741,46840809,"","",154945302
2018493811,10.1109/cadgraphics.2013.68,ahao,A550,aimin hao,2127406583,144795824,82880672,41008148,154945302
2084500805,10.1007/s10590-009-9068-3,away,A530,andy way,2110815193,144315616,42934936,41008148,204321447
2020545181,10.1016/j.jcss.2013.10.002,ayeo,A536,anders yeo,2152712730,145762028,152815399,33923547,114614502
2020545181,10.1016/j.jcss.2013.10.002,ayeo,A536,anders yeo,2152712730,145762028,"","",118615104
2046013031,10.1016/j.jda.2012.02.002,ayeo,A536,anders yeo,2152712730,145762028,184558857,33923547,11413529
1539156730,10.1007/978-3-540-92248-3_19,ayeo,A536,anders yeo,2152712730,145762028,184558857,33923547,118615104
2046013031,10.1016/j.jda.2012.02.002,ayeo,A536,anders yeo,2152712730,145762028,"","",118615104
1539156730,10.1007/978-3-540-92248-3_19,ayeo,A536,anders yeo,2152712730,145762028,"","",11413529
2046013031,10.1016/j.jda.2012.02.002,ayeo,A536,anders yeo,2152712730,145762028,"","",114614502
2039673066,10.1016/j.jcp.2011.05.011,aweiie,A536,andrea y weiie,2293353220,21361547,75951250,33923547,134306372
2094946507,10.1137/s0895480197322154,ayeo,A536,anders yeo,2152712730,145762028,"",33923547,118615104
